Time,Anomaly (deg C)
1924-02,-0.31502405
1924-03,-0.17569311
1924-04,-0.34221616
1924-05,-0.21731487
1924-06,-0.2752915
1924-07,-0.29365906
1924-08,-0.31698474
1924-09,-0.33043325
1924-10,-0.36558887
1924-11,-0.29047823
1924-12,-0.49208373
1925-01,-0.49136698
1925-02,-0.4850451
1925-03,-0.37347955
1925-04,-0.30666956
1925-05,-0.30524135
1925-06,-0.3338653
1925-07,-0.3305973
1925-08,-0.16801853
1925-09,-0.25865942
1925-10,-0.28825894
1925-11,-0.058825377
1925-12,0.014323629
1926-01,0.08280991
1926-02,-0.034752987
1926-03,0.023852488
1926-04,-0.15770821
1926-05,-0.26975292
1926-06,-0.18253578
1926-07,-0.20816748
1926-08,-0.099735446
1926-09,-0.11760381
1926-10,-0.06968422
1926-11,-0.11550855
1926-12,-0.32187304
1927-01,-0.31094587
1927-02,-0.21181238
1927-03,-0.41866517
1927-04,-0.31421232
1927-05,-0.2297561
1927-06,-0.24802026
1927-07,-0.20455241
1927-08,-0.21301645
1927-09,-0.11935696
1927-10,-0.02937854
1927-11,-0.12638232
1927-12,-0.32326442
1928-01,-0.016804647
1928-02,-0.12436657
1928-03,-0.31927732
1928-04,-0.23490348
1928-05,-0.30116624
1928-06,-0.32642776
1928-07,-0.18801957
1928-08,-0.17821808
1928-09,-0.20647411
1928-10,-0.18374065
1928-11,-0.17178863
1928-12,-0.22640261
1929-01,-0.4361398
1929-02,-0.6033721
1929-03,-0.48683798
1929-04,-0.43701932
1929-05,-0.43421718
1929-06,-0.4085424
1929-07,-0.43930697
1929-08,-0.265994
1929-09,-0.2770237
1929-10,-0.22095427
1929-11,-0.13986555
1929-12,-0.56004316
1930-01,-0.3631465
1930-02,-0.35584557
1930-03,-0.24732774
1930-04,-0.23128887
1930-05,-0.25067642
1930-06,-0.20374553
1930-07,-0.1882644
1930-08,-0.09765256
1930-09,-0.092231415
1930-10,-0.090577535
1930-11,0.06376379
1930-12,-0.06467221
1931-01,-0.13693942
1931-02,-0.25869054
1931-03,-0.10919362
1931-04,-0.17070462
1931-05,-0.19289996
1931-06,-0.02544678
1931-07,-0.008178203
1931-08,-0.026662722
1931-09,-0.051968556
1931-10,-0.026985472
1931-11,-0.13579522
1931-12,-0.097307
1932-01,0.07975415
1932-02,-0.17805381
1932-03,-0.19476578
1932-04,-0.061219946
1932-05,-0.15982142
1932-06,-0.25541136
1932-07,-0.12971984
1932-08,-0.18982057
1932-09,-0.000550666
1932-10,-0.09439127
1932-11,-0.29486138
1932-12,-0.26667866
1933-01,-0.3110911
1933-02,-0.35099408
1933-03,-0.3851552
1933-04,-0.2847052
1933-05,-0.2769364
1933-06,-0.32360965
1933-07,-0.2903949
1933-08,-0.15375972
1933-09,-0.32664743
1933-10,-0.245828
1933-11,-0.40483868
1933-12,-0.5141726
1934-01,-0.3232675
1934-02,-0.14517304
1934-03,-0.43105683
1934-04,-0.37176275
1934-05,-0.14018926
1934-06,-0.09232751
1934-07,-0.17809097
1934-08,-0.11440116
1934-09,-0.13450967
1934-10,-0.08177011
1934-11,0.031826723
1934-12,-0.111320116
1935-01,-0.3479727
1935-02,0.049721587
1935-03,-0.21446314
1935-04,-0.3228377
1935-05,-0.31434223
1935-06,-0.2092866
1935-07,-0.14094204
1935-08,-0.14877552
1935-09,-0.19052882
1935-10,-0.055213235
1935-11,-0.32153568
1935-12,-0.25653479
1936-01,-0.39848116
1936-02,-0.34311995
1936-03,-0.3291645
1936-04,-0.1883213
1936-05,-0.17232911
1936-06,-0.14899857
1936-07,-0.06987007
1936-08,-0.07327964
1936-09,-0.108766146
1936-10,-0.041382577
1936-11,-0.054110777
1936-12,-0.10642759
1937-01,-0.12685171
1937-02,0.066486835
1937-03,-0.26192868
1937-04,-0.12121344
1937-05,-0.091207266
1937-06,-0.008428331
1937-07,0.019690081
1937-08,0.036828596
1937-09,0.14490855
1937-10,0.12801065
1937-11,0.061703082
1937-12,-0.0783857
1938-01,0.04551444
1938-02,-0.009824214
1938-03,-0.015279184
1938-04,0.040003248
1938-05,-0.095915005
1938-06,-0.09364482
1938-07,-0.04622565
1938-08,-0.002844417
1938-09,0.01991738
1938-10,0.16282216
1938-11,0.054737236
1938-12,-0.20567001
1939-01,-0.12178783
1939-02,-0.117604576
1939-03,-0.28873175
1939-04,-0.10640295
1939-05,-0.030052261
1939-06,0.014760026
1939-07,-0.037748978
1939-08,-0.04066755
1939-09,-0.017160367
1939-10,-0.09934573
1939-11,0.021302136
1939-12,0.3338734
1940-01,-0.052654903
1940-02,0.08632718
1940-03,-0.035766255
1940-04,0.14895234
1940-05,0.050241154
1940-06,0.044663727
1940-07,0.1482532
1940-08,0.09961082
1940-09,0.13118677
1940-10,0.09584135
1940-11,-0.004656185
1940-12,0.19923063
1941-01,-0.039561044
1941-02,0.11823883
1941-03,-0.11652538
1941-04,0.036228586
1941-05,0.061234996
1941-06,0.0596246
1941-07,0.16075781
1941-08,0.039676894
1941-09,-0.14452067
1941-10,0.21426645
1941-11,-0.007257905
1941-12,0.07538845
1942-01,0.25783694
1942-02,0.016801016
1942-03,-0.04157948
1942-04,-0.015153578
1942-05,0.123790585
1942-06,0.030325836
1942-07,-0.059752498
1942-08,-0.05740612
1942-09,-0.013465349
1942-10,-0.08694347
1942-11,-0.057510037
1942-12,-0.08007102
1943-01,-0.18267335
1943-02,-0.0306142
1943-03,-0.1677273
1943-04,0.022969475
1943-05,0.035509173
1943-06,-0.07487101
1943-07,0.018335527
1943-08,0.031700876
1943-09,-0.013441508
1943-10,0.2277136
1943-11,0.10388872
1943-12,0.10626899
1944-01,0.31816214
1944-02,0.11862034
1944-03,0.12006746
1944-04,0.04225582
1944-05,0.11992569
1944-06,0.10735916
1944-07,0.14871696
1944-08,0.20666182
1944-09,0.16769068
1944-10,0.20805594
1944-11,0.08847658
1944-12,0.083269015
1945-01,0.0950804
1945-02,0.048399482
1945-03,0.038658116
1945-04,0.2098529
1945-05,-0.061685726
1945-06,-0.03652022
1945-07,0.000423247
1945-08,0.2362124
1945-09,0.1028386
1945-10,0.094233386
1945-11,-0.010639086
1945-12,-0.19979328
1946-01,0.046495292
1946-02,-0.11574648
1946-03,-0.1215766
1946-04,-0.001070162
1946-05,-0.0827189
1946-06,-0.27002892
1946-07,-0.109389625
1946-08,-0.15412526
1946-09,-0.09819822
1946-10,-0.06812635
1946-11,-0.10808773
1946-12,-0.3432024
1947-01,-0.15051118
1947-02,-0.1410642
1947-03,-0.07618308
1947-04,-0.054869857
1947-05,-0.070801094
1947-06,-0.092732966
